barcode,product_name,category,price
8801000000001,생수0,음료,41305
8801000000002,이온음료1,음료,7778
8801000000003,이온음료2,음료,5791
8801000000004,사이다3,음료,40134
8801000000005,생수4,음료,8237
8801000000006,사이다5,음료,41234
8801000000007,이온음료6,음료,16026
8801000000008,커피7,음료,45627
8801000000009,사이다8,음료,13027
8801000000010,이온음료9,음료,45385
8801000000011,콜라10,음료,44076
8801000000012,콜라11,음료,41557
8801000000013,생수12,음료,24941
8801000000014,커피13,음료,23174
8801000000015,사이다14,음료,32838
8801000000016,생수15,음료,3606
8801000000017,이온음료16,음료,7103
8801000000018,사이다17,음료,26791
8801000000019,생수18,음료,25568
8801000000020,이온음료19,음료,21967
8801000000021,생수20,음료,23130
8801000000022,생수21,음료,36612
8801000000023,이온음료22,음료,29617
8801000000024,커피23,음료,11504
8801000000025,콜라24,음료,15125
8801000000026,김치0,식품,6042
8801000000027,컵라면1,식품,43293
8801000000028,햇반2,식품,43201
8801000000029,햇반3,식품,43002
8801000000030,햇반4,식품,2528
8801000000031,만두5,식품,1304
8801000000032,컵라면6,식품,45654
8801000000033,만두7,식품,13794
8801000000034,햇반8,식품,26916
8801000000035,햇반9,식품,18422
8801000000036,만두10,식품,2275
8801000000037,김치11,식품,48385
8801000000038,햇반12,식품,43641
8801000000039,컵라면13,식품,19636
8801000000040,컵라면14,식품,2256
8801000000041,참치캔15,식품,39797
8801000000042,참치캔16,식품,28976
8801000000043,햇반17,식품,43961
8801000000044,햇반18,식품,4820
8801000000045,참치캔19,식품,2563
8801000000046,컵라면20,식품,11839
8801000000047,컵라면21,식품,31071
8801000000048,참치캔22,식품,10684
8801000000049,햇반23,식품,16697
8801000000050,만두24,식품,23691
8801000000051,칫솔0,생활용품,17061
8801000000052,린스1,생활용품,6653
8801000000053,린스2,생활용품,22951
8801000000054,샴푸3,생활용품,35549
8801000000055,치약4,생활용품,48009
8801000000056,치약5,생활용품,37863
8801000000057,바디워시6,생활용품,6474
8801000000058,칫솔7,생활용품,34599
8801000000059,칫솔8,생활용품,11896
8801000000060,바디워시9,생활용품,19099
8801000000061,바디워시10,생활용품,9404
8801000000062,샴푸11,생활용품,35054
8801000000063,바디워시12,생활용품,13334
8801000000064,치약13,생활용품,22064
8801000000065,치약14,생활용품,41409
8801000000066,바디워시15,생활용품,40710
8801000000067,샴푸16,생활용품,3864
8801000000068,린스17,생활용품,34393
8801000000069,치약18,생활용품,17604
8801000000070,바디워시19,생활용품,49223
8801000000071,바디워시20,생활용품,37230
8801000000072,칫솔21,생활용품,17879
8801000000073,칫솔22,생활용품,36641
8801000000074,치약23,생활용품,34546
8801000000075,샴푸24,생활용품,14089
8801000000076,이어폰0,전자제품,30131
8801000000077,무선마우스1,전자제품,36799
8801000000078,키보드2,전자제품,2845
8801000000079,키보드3,전자제품,44494
8801000000080,무선마우스4,전자제품,29741
8801000000081,이어폰5,전자제품,42645
8801000000082,무선마우스6,전자제품,33426
8801000000083,키보드7,전자제품,31229
8801000000084,키보드8,전자제품,45641
8801000000085,무선마우스9,전자제품,4776
8801000000086,키보드10,전자제품,19949
8801000000087,이어폰11,전자제품,40109
8801000000088,충전기12,전자제품,42802
8801000000089,이어폰13,전자제품,42629
8801000000090,이어폰14,전자제품,12666
8801000000091,충전기15,전자제품,9757
8801000000092,키보드16,전자제품,8900
8801000000093,충전기17,전자제품,22537
8801000000094,키보드18,전자제품,34241
8801000000095,충전기19,전자제품,35107
8801000000096,키보드20,전자제품,3989
8801000000097,충전기21,전자제품,30833
8801000000098,충전기22,전자제품,12592
8801000000099,무선마우스23,전자제품,40292
8801000000100,USB24,전자제품,20670
