date,is_weekend,is_holiday,event,promo,prev_qty,avg7_qty,food_qty,drink_qty,daily_qty,cold_qty,beauty_qty,avg7_food_qty,avg7_drink_qty,avg7_daily_qty,avg7_cold_qty,avg7_beauty_qty,top_sku_ratio,heavy_item_ratio,cold_chain_ratio,outbound_qty
2022-01-01,1,1,0,0,311,311,96,73,49,64,29,96,73,49,64,29,0.17,0.183,0.203,311
2022-01-02,1,0,0,0,311,311,92,60,49,60,22,96,73,49,64,29,0.193,0.179,0.132,283
2022-01-03,0,0,0,0,283,297,100,91,68,57,53,94,66.5,49,62,25.5,0.182,0.175,0.205,369
2022-01-04,0,0,0,0,369,321,98,78,80,58,37,96,74.7,55.3,60.3,34.7,0.188,0.192,0.235,351
2022-01-05,0,0,0,0,351,328.5,109,76,67,59,43,96.5,75.5,61.5,59.8,35.2,0.146,0.177,0.229,354
2022-01-06,0,1,0,0,354,333.6,99,79,77,60,48,99,75.6,62.6,59.6,36.8,0.239,0.192,0.204,363
2022-01-07,0,0,0,1,363,338.5,128,126,109,103,59,99,76.2,65,59.7,38.7,0.215,0.166,0.169,525
2022-01-08,1,0,0,0,525,365.1,111,78,61,71,36,103.1,83.3,71.3,65.9,41.6,0.261,0.154,0.207,357
2022-01-09,1,0,0,0,357,371.7,102,78,63,75,40,105.3,84,73,66.9,42.6,0.175,0.133,0.136,358
2022-01-10,0,0,0,0,358,382.4,80,85,66,60,40,106.7,86.6,75,69,45.1,0.198,0.153,0.164,331
2022-01-11,0,0,0,0,331,377,118,97,91,70,49,103.9,85.7,74.7,69.4,43.3,0.24,0.177,0.211,425
2022-01-12,0,0,0,1,425,387.6,138,122,102,87,49,106.7,88.4,76.3,71.1,45,0.175,0.177,0.187,498
2022-01-13,0,0,0,0,498,408.1,116,94,82,70,62,110.9,95,81.3,75.1,45.9,0.155,0.18,0.166,424
2022-01-14,0,0,0,0,424,416.9,147,108,85,81,49,113.3,97.1,82,76.6,47.9,0.166,0.154,0.172,470
2022-01-15,1,0,0,0,470,409,115,97,71,91,32,116,94.6,78.6,73.4,46.4,0.246,0.155,0.189,406
2022-01-16,1,0,0,0,406,416,135,111,72,92,37,116.6,97.3,80,76.3,45.9,0.222,0.175,0.196,447
2022-01-17,0,0,0,0,447,428.7,121,103,97,81,51,121.3,102,81.3,78.7,45.4,0.169,0.18,0.203,453
2022-01-18,0,0,0,1,453,446.1,141,122,99,73,66,127.1,104.6,85.7,81.7,47,0.257,0.153,0.149,501
2022-01-19,0,0,0,0,501,457,126,105,106,79,47,130.4,108.1,86.9,82.1,49.4,0.232,0.2,0.157,463
2022-01-20,0,0,0,0,463,452,136,119,95,86,52,128.7,105.7,87.4,81,49.1,0.203,0.196,0.209,488
2022-01-21,0,0,0,0,488,461.1,125,105,83,73,53,131.6,109.3,89.3,83.3,47.7,0.222,0.171,0.204,439
2022-01-22,1,1,0,0,439,456.7,119,96,70,91,34,128.4,108.9,89,82.1,48.3,0.201,0.171,0.167,410
2022-01-23,1,0,0,0,410,457.3,119,86,63,73,35,129,108.7,88.9,82.1,48.6,0.226,0.158,0.195,376
2022-01-24,0,0,0,0,376,447.1,110,81,73,74,40,126.7,105.1,87.6,79.4,48.3,0.217,0.191,0.137,378
2022-01-25,0,0,0,0,378,436.4,104,80,72,59,41,125.1,102,84.1,78.4,46.7,0.233,0.18,0.179,356
